決算発表日	証券コード	会社名	関連情報	決算期	決算種別	業種	上場市場
2020/3/13	7073	ジェイック	適時開示	1月期	本	サービス	東証
2020/3/13	7604	梅の花	適時開示	4月期	第３	サービス	東証
2020/3/13	7805	プリントネット	適時開示	10月期	第１	その他製造	東証
2020/3/13	7810	クロスフォー	適時開示	7月期	第２	その他製造	東証
2020/3/13	7827	オービス	適時開示	10月期	第１	その他製造	東証
2020/3/13	7850	総合商研	適時開示	7月期	第２	その他製造	東証
2020/3/13	7878	光・彩	適時開示	1月期	本	その他製造	東証
2020/3/13	7899	ＭＩＣＳ化学	適時開示	4月期	第３	化学	東証
2020/3/13	8013	ナイガイ	適時開示	1月期	本	商社	東証
2020/3/13	8077	小林産業	適時開示	10月期	第１	商社	東証
2020/3/13	8079	正栄食品工業	適時開示	10月期	第１	商社	東証
2020/3/13	8925	アルデプロ	適時開示	7月期	第２	不動産	東証
2020/3/13	8927	明豊エンタープライズ	適時開示	7月期	第２	不動産	東証
2020/3/13	9636	きんえい	適時開示	1月期	本	サービス	東証
2020/3/13	9637	オーエス	適時開示	1月期	本	サービス	東証
2020/3/13	9734	精養軒	適時開示	1月期	本	サービス	東証
2020/3/16	2217	モロゾフ	適時開示	1月期	本	食品	東証
2020/3/16	2776	新都ホールディングス	適時開示	1月期	本	商社	東証
2020/3/16	3169	ミサワ	適時開示	1月期	本	小売業	東証
2020/3/16	3399	丸千代山岡家	適時開示	1月期	本	サービス	東証
2020/3/16	3421	稲葉製作所	適時開示	7月期	第２	非鉄金属製品	東証
2020/3/16	3665	エニグモ	適時開示	1月期	本	サービス	東証
2020/3/16	3804	システムディ	適時開示	10月期	第１	サービス	東証
2020/3/16	4380	Ｍマート	適時開示	1月期	本	サービス	東証
2020/3/16	4592	サンバイオ	適時開示	1月期	本	医薬品	東証
2020/3/16	4880	セルソース	適時開示	10月期	第１	医薬品	東証
2020/3/16	6192	ハイアス・アンド・カンパニー	適時開示	4月期	第３	サービス	東証
2020/3/16	7683	ダブルエー	適時開示	1月期	本	小売業	東証
2020/3/16	7803	ブシロード	適時開示	7月期	第２	その他製造	東証
2020/3/16	9279	ギフト	適時開示	10月期	第１	サービス	東証
2020/3/16	9829	ながの東急百貨店	適時開示	1月期	本	小売業	東証
2020/3/19	6336	石井表記	適時開示	1月期	本	機械	東証
